Amenity,Frequency
Kerastase /redken  shampoo,1
Enceinte JBL (rouge) Bluetooth sound system,1
Welcome kit shampoo,1
Welcome kit body soap,1
Dual Bluetooth sound system,1
Savon liquide biologique pour corps et cheveux body soap,1
22 HDTV with DVD player,1
Alexa echo dot sound system,1
Shared outdoor pool - heated,1
Nouveau réfrigérateur SmEG ( réglé parfaitement et surtout ne pas toucher ce réglage svp )Reçu en juillet 2023 refrigerator,1
Enceinte bose  Bluetooth sound system,1
MOULINEX stainless steel oven,1
Fast wifi – 1130 Mbps,1
Mini four electrique stainless steel oven,1
Plaques vitro céramique electric stove,1
Avec petit  congélateur refrigerator,1
Petit dans la salle de bain refrigerator,1
April body soap,1
Sono Bluetooth sound system,1
69 TV with standard cable,1
B&O sound system,1
Natural brand conditioner,1
Le Petit Marseillais ou autre body soap,1
Mini four stainless steel oven,1
Côté Sud (organic) conditioner,1
Côté Sud (organic) shampoo,1
1 pour l’arrivé  body soap,1
1 seul pour l’arrivé  shampoo,1
Fast wifi – 935 Mbps,1
150 HDTV with standard cable,1
L'oréal  shampoo,1
Enceinte Bluetooth sound system,1
YAMAHA Bluetooth sound system,1
73 HDTV with standard cable,1
Fast wifi – 782 Mbps,1
Marshall Acton III sound system with Bluetooth and aux,1
Petit marseillais ou autre body soap,1
Samsung (Four & Microondes) oven,1
Dope Bluetooth sound system,1
Fast wifi – 799 Mbps,1
26 HDTV with Netflix,1
Fast wifi – 868 Mbps,1
NEFF single oven,1
Moulinex combiné convection et microonde oven,1
Bose SoundLink sound system with Bluetooth and aux,1
Samsung four microonde oven,1
Philips  sound system with aux,1
Harman-Kardon Bluetooth sound system,1
Natural olive oil base body soap,1
Timothei  conditioner,1
Timothei  shampoo,1
Radio-lecteur CD MP3 sound system,1
Savon de Marseille fabriqué à l'ancienne,1
dans la dernière savonnerie de France body soap,1
Shampooing  bio aux extraits de lavande shampoo,1
Technics sound system,1
Paid parking garage on premises – 9 spaces,1
Ultimate Ears - Boom 3 Bluetooth sound system,1
Savon Hypoallergénique body soap,1
Enceinte Bluetooth Marshal Bluetooth sound system,1
Aveda body soap,1
DE LONGHI stainless steel oven,1
2 réfrigérateurs marque Ikea refrigerator,1
Bluesound sound system,1
Hai  refrigerator,1
Rosière induction stove,1
Enceinte JBL sound system,1
Vieille cuisinière  à gaz  La Cornue  oven,1
Create sound system with Bluetooth and aux,1
Shampooing d'Alep shampoo,1
De Dietrich stove,1
Naim Bluetooth sound system,1
Loreal .... conditioner,1
Fast wifi – 787 Mbps,1
SAMSUNG stainless steel double oven,1
La boite concept sound system with Bluetooth and aux,1
103 HDTV with Netflix,1
... body soap,1
2 plaques.de cuisson electric stove,1
Mini electrique  oven,1
IsEasy  stainless steel induction stove,1
Hifi sound system,1
H Koening single oven,1
Dove ou equivalent body soap,1
Dop Shampoing Doux ou equivalent shampoo,1
Apple HomePod Mini (6) sound system,1
Deux types de shampoings (famille & femme / cheveux colorés) shampoo,1
Ampli et pré-ampli Nad,1
Tuner Nad,1
Lecteur CD Micromega,1
Platine TD Rega Planar,1
Enceintes colonne Davis. Possibilité de connecter (mode Aux) votre propre baladeur numérique ou Smartphone sound system with aux,1
Braun stainless steel oven,1
Plusieurs savons liquide et en pain (solide). Le petit Marseillais. Fragonard body soap,1
Hotel style body soap,1
Four + microondes stainless steel oven,1
Le Petit Marseillais BIO body soap,1
Good products body soap,1
Unprecised shampoo,1
De qualité  body soap,1
No refrigerator,1
Marantz sound system,1
ARISTON stainless steel gas stove,1
CABASSE sound system with aux,1
42 HDTV with Hulu,1
Cadum ou Fer à Cheval body soap,1
Micro ondes stainless steel oven,1
22 HDTV with Netflix,1
Plaque à induction 2 feux stove,1
Real soap from Aleppo body soap,1
Casino  shampoo,1
Le Petit Marseilais bio body soap,1
BOSE enceinte Revolve sound Link Bluetooth sound system,1
L’Occitane conditioner,1
Pioneer sound system,1
Le Savon de Marseille body soap,1
Sonoro Bluetooth sound system,1
46 HDTV,1
SAVON DE MARSEILLE LIQUIDE body soap,1
Marrantz & Focal sound system with Bluetooth and aux,1
31 TV with Chromecast,1
Exposure sound system with Bluetooth and aux,1
Paid tennis club,1
Fast wifi – 913 Mbps,1
オーガニック body soap,1
Mini fridge & freezer refrigerator,1
オーガニック shampoo,1
オーガニック conditioner,1
AUSSIE shampoo,1
Paid parking garage on premises – 680 spaces,1
Rosiere stainless steel induction stove,1
Réfrigérateur  congélateur refrigerator,1
Boze Bluetooth sound system,1
ONKYO sound system with Bluetooth and aux,1
Bio,1
parfum fleur d'oranger (en général) acheté en vrac body soap,1
Bluetooth Bluetooth sound system,1
Savon liquide de Marseille à la fleur d’oranger  body soap,1
Denon ; Megaboom sound system with Bluetooth and aux,1
Kenwood Bose sound system with Bluetooth and aux,1
Harmon sound system with Bluetooth and aux,1
Shampoo  body soap,1
Xiaomi  Bluetooth sound system,1
Garnier Avocat shampoo,1
L’oreal body soap,1
Refrigerateur et congelateur refrigerator,1
Hand & Body Shampoo / distributeur dans la douche body soap,1
De Dietrich stainless steel stove,1
Garnier . Après shampoing démèlant. Hypoallergenique conditioner,1
Hand & Body Shampoo / distributeur dans la douche shampoo,1
75 TV with Netflix,1
Hkoenig refrigerator,1
Bose SoundLink Bluetooth sound system,1
Marque française  conditioner,1
Marque française  body soap,1
41 HDTV with Chromecast,1
27 TV with Amazon Prime Video,1
Marseillaise  body soap,1
Denon,1
Pharmaceutical brand  body soap,1
URIAGE GEL DERMATOLOGIQUE body soap,1
Radio analogique manuel sound system,1
Bose and SONOS sound system with aux,1
Onyx Bluetooth sound system,1
BIODERM body soap,1
Bio lavande body soap,1
Whirlpool **** refrigerator,1
ND shampoo,1
GARNIER AVOCAT conditioner,1
Ducray body soap,1
3 TV with Netflix,1
Molinex single oven,1
Ikea Folklig induction stove,1
27 HDTV with Chromecast,1
Indesit  induction stove,1
Indisite  stainless steel oven,1
Rosières  stainless steel gas stove,1
  Brandt induction stove,1
Forno induction stove,1
Fast wifi – 857 Mbps,1
Fast wifi – 659 Mbps,1
58 HDTV with standard cable,1
Le Petit Marseille body soap,1
Enceinte Bose  Bluetooth sound system,1
Fast wifi – 217 Mbps,1
Yves Rocher conditioner,1
Plaque de cuisson electric stove,1
NEFF stove,1
ROSIERES stainless steel single oven,1
Elsève Loréal shampoo,1
Enceinte bluetooth Marshall Bluetooth sound system,1
Plaque et four philips  induction stove,1
JB Bluetooth sound system,1
31 HDTV with Netflix,1
Agga  gas stove,1
Fast wifi – 623 Mbps,1
NATUREA body soap,1
Bioderma ou équivalents  body soap,1
Ducray ou équivalents  shampoo,1
2 Radio Geneva (salon et chambre 2),1
Radio Tivoli  réveil chmbre1,1
radio Tivoli cuisine DAB sound system with Bluetooth and aux,1
Paid parking on premises – 100 spaces,1
Frostig Ikea refrigerator,1
Bose Mini Sound Link Bluetooth sound system,1
44 HDTV with Chromecast,1
Private indoor pool - heated,1
Fast wifi – 157 Mbps,1
Savonnettes body soap,1
Azzaro shampoo,1
Le petit Marseillais or Cadum body soap,1
Biotherm shampoo,1
Biotherm  body soap,1
Homepod apple Bluetooth sound system,1
Savon doux body soap,1
NOVY induction stove,1
L’Oréal Paris conditioner,1
400 HDTV with standard cable,1
Vous pouvez brancher votre téléphone portable pour écouter de la musique sound system with aux,1
3 enceintes Megaboom 2 Bluetooth sound system,1
Natural body cleanser body soap,1
Natural conditioner,1
Apres champoing! conditioner,1
CARAFE D'EAU  AU FRAIS refrigerator,1
Au cas ou vous aurait oublie vous avez a votre disposition du champoing et du gel douche. body soap,1
Pure herbal conditioner,1
Bio. shampoo,1
DAMANA body soap,1
Les Centaures body soap,1
Mugler body soap,1
Ines de La Fressange conditioner,1
Ines de La Fressange body soap,1
Rogé Cavaillès Gel bain et douche surgras necta d'aloe body soap,1
31 TV with Netflix,1
Ampli Rotel + Cabasse sound system with aux,1
Booth Bluetooth sound system,1
Minx air 200 sound system,1
SONOS system  Bluetooth sound system,1
Molton Brown  body soap,1
Boîte Concept sound system with Bluetooth and aux,1
20 TV with Chromecast,1
Harmann Cardon sound system,1
39 TV with Amazon Prime Video,1
Four multifonctions LG : micro-ondes et chaleur tournante oven,1
48 HDTV with premium cable,1
Petit four grill  oven,1
L'OREAL & FAITH in NATURE conditioner,1
Fast wifi – 664 Mbps,1
ARISTON refrigerator,1
Clarins conditioner,1
Beko stainless steel oven,1
Fast wifi – 433 Mbps,1
Le petit marsaillais shampoo,1
Listo stainless steel oven,1
Savon en bouteille  body soap,1
Brother  Bluetooth sound system,1
Fast wifi – 594 Mbps,1
Bang &Olufsen Bluetooth sound system,1
Herbal essences conditioner,1
19 HDTV,1
Sholtes  oven,1
Ce n'est pas un vrai four mais un micro-onde combiné,1
c'est-à-dire qu'il a une fonction four traditionnelle qui permet de cuire des gâteaux,1
gratins,1
etc. oven,1
MONSAVON body soap,1
Fast wifi – 565 Mbps,1
Onkyo sound system with aux,1
Roller Grill Turbo Quartz stainless steel oven,1
Oceanic induction stove,1
Google mini sound system,1
Aderma body soap,1
Wonderboom sound system,1
Candy stainless steel induction stove,1
Smeg stainless steel electric stove,1
Mini-four oven,1
Lacanche stainless steel induction stove,1
13 HDTV with standard cable,1
Organic soap  body soap,1
DE DIETRICH induction stove,1
LIEBEHRR refrigerator,1
Jbl  sound system with Bluetooth and aux,1
Toshiba sound system,1
SONOS dans toutes les pièces sound system,1
BOZE Bluetooth sound system,1
VIFA Bluetooth sound system,1
Moderna  stove,1
Philips dtm  sound system with Bluetooth and aux,1
Depends body soap,1
Petit Marcel body soap,1
Étagère mis à votre disposition dans le frigo  refrigerator,1
17 TV with Netflix,1
Mini four Brandt stainless steel oven,1
Gaz stove,1
Liquide savon noir neutre et détergent  body soap,1
98 HDTV with standard cable,1
52 HDTV with DVD player,1
Amazone Alexa Bluetooth sound system,1
Douce nature/bio body soap,1
L'Oréal Elseve conditioner,1
Melvita produit bio sans sulfates body soap,1
Melvita Bio sans sulfates shampoo,1
Marshall et Google Home sound system with Bluetooth and aux,1
Pionnier Bluetooth sound system,1
Possibilité de ranger des produits dans le frigo refrigerator,1
Lecteur DVD sound system,1
"Dove ,dop body soap",1
Savon liquide type savon de marseille body soap,1
Enceinte : Klipsch the one sound system with Bluetooth and aux,1
Helvetica (bio) shampoo,1
PS5,1
SVS sound system with Bluetooth and aux,1
104 HDTV with Amazon Prime Video,1
Faith In Nature (Vegan) conditioner,1
Fast wifi – 920 Mbps,1
Dop ou equivalent de shampooing doux shampoo,1
United induction stove,1
44 TV with Chromecast,1
Semeg refrigerator,1
Sonos (Please download Sonos S1 app - S2 won't work) Bluetooth sound system,1
Philips / Whirlpool oven,1
12 TV,1
Frigelux refrigerator,1
Carrefour Baby Bio shampoo,1
Molton Brown shampoo,1
Molton brown body soap,1
90 HDTV with Chromecast,1
Schampoo soap conditionner body soap,1
"Balea Med pH 5,5 Hautneutral Waschlotion body soap",1
"Balea Med pH 5,5 Hautneutral Shampoo shampoo",1
49 HDTV with Disney+,1
Radio Réveil JBL Bluetooth sound system,1
140 HDTV with Amazon Prime Video,1
Elvive conditioner,1
De dietrich electric stove,1
Savons de Marseille  body soap,1
Avec congelateur refrigerator,1
Shower gels : 1 for women + 1 for male  body soap,1
Petit refrigerator,1
Ikea (Whirlpool) refrigerator,1
Bosch fridge/freezer refrigerator,1
Bio amande petit Marseillais  body soap,1
Zéro (produit qui n’a pas des additifs)  body soap,1
ACTION VERTE (Action Verte Crème lavante Mains Corps/Cheveux Coco Écolabel) body soap,1
ACTION VERTE (Action Verte Crème lavante Mains Corps/Cheveux Coco Écolabel) conditioner,1
Pas de marque en particulier body soap,1
Alexia sound system,1
SHARP stainless steel oven,1
Nuxe ou caudalie  body soap,1
Leclerc  body soap,1
Faure   induction stove,1
FAGOR refrigerator,1
Typologie shampoo,1
Garnier and Nivea body soap,1
Organic Naturalia shampoo,1
Ciarra induction stove,1
LG Sound Bar sound system with Bluetooth and aux,1
Public or shared beach access – Beachfront,1
EuroKera induction stove,1
Yaber v6 Movie Projector with built in Speaker Bluetooth sound system,1
Continental Edison stainless steel gas stove,1
Rosiere induction stove,1
Carli body soap,1
Mini four Séverin  oven,1
Savon gel douche body soap,1
7 HDTV,1
Yamaha HS5 sound system with aux,1
Marché Richard Lenoir body soap,1
Fast wifi – 770 Mbps,1
JBL barre de son Bluetooth sound system,1
Savon solide  body soap,1
Retro Bluetooth sound system,1
Fast wifi – 639 Mbps,1
Supermarket  conditioner,1
Supermarket body soap,1
Brandt  stainless steel gas stove,1
Whirlpool double oven,1
Ce depend body soap,1
Fast wifi – 662 Mbps,1
Onkyo sound system,1
Kef Bluetooth sound system,1
JBL radio Bluetooth  Bluetooth sound system,1
Siemens  stainless steel double oven,1
SONOS dans chaque pièce sound system,1
Bose Slii Bluetooth sound system,1
Savon noir body soap,1
Harman  Kardon Bluetooth sound system,1
UE Boom sound system with Bluetooth and aux,1
Harman Kardon - infinite et Home pod mini  sound system with Bluetooth and aux,1
Produit BIO body soap,1
Bio français  shampoo,1
Bio français  body soap,1
YAMAHA + JVC + JBL sound system with Bluetooth and aux,1
L'Oréal ou équivalent conditioner,1
L'Oréal ou équivalent shampoo,1
Dove ou équivalent. body soap,1
Fagor single oven,1
I  refrigerator,1
Cosmonaturel body soap,1
Cosmonaturel shampoo,1
Onkio sound system with Bluetooth and aux,1
Dive body soap,1
MTX AUDIO sound system,1
127 HDTV,1
Kiehls/Roger & Gallet shampoo,1
Kiehl’s body soap,1
Roger & Gallet conditioner,1
Game console: Nintendo Wii and Nintendo Wii U,1
Mashall Bluetooth sound system,1
Four traditionnel et a vapeur stainless steel oven,1
Fast wifi – 880 Mbps,1
LG home cinéma dolby atmos sound system with Bluetooth and aux,1
Gel douche/shampooing  body soap,1
Doypack écolabel cheveux et corps délicat body soap,1
Doypack écolabel cheveux et corps délicat shampoo,1
Google home / enceinte Bluetooth sound system,1
27 TV with Fire TV,1
GenevaLab sound system with aux,1
Axiim sound system,1
Urban ears Bluetooth sound system,1
Francaise bio shampoo,1
Francaise bio body soap,1
Francaise bio conditioner,1
Cornue  gas stove,1
CORNUE  oven,1
Rosieres stainless steel induction stove,1
Philips  Bluetooth sound system,1
Sonos  sound system with Bluetooth and aux,1
84 HDTV with Amazon Prime Video,1
Shared indoor pool - heated,1
   scholtes stainless steel oven,1
Bio liquide body soap,1
22 TV with standard cable,1
Love,1
Beauty and Planet shampoo,1
Essentiel jbl sound system,1
Ho karan body soap,1
Dermatologue  body soap,1
Triangle / Onkyo sound system with Bluetooth and aux,1
Head & Shoulders... shampoo,1
Harmann Kardon / Devialet Bluetooth sound system,1
Hercules sound system with aux,1
Produits bio body soap,1
Tbc body soap,1
Tbc conditioner,1
Enceinte Amazon Bluetooth sound system,1
JBL Charge2+ Bluetooth sound system,1
Scholtes stainless steel induction stove,1
Petit marseills body soap,1
Children’s books and toys for ages 0-2 years old and 10+ years old,1
Piano Falcon oven,1
Shampoing verveine Naked Shop shampoo,1
Gel douche bio douceur orange Naked Shop body soap,1
PIANO FALCON ELISE induction stove,1
Kulinarisk stainless steel oven,1
Varied  body soap,1
Varied conditioner,1
Spa services – included with your stay,1
Gated community,1
Pre-stocking - included with your stay,1
Waitstaff available every day - included with your stay,1
Wine cellar,1
Aroma zone body soap,1
Beko frigo Américain avec congélateur  refrigerator,1
Barre de son Samsung HW-Q950T dolby atmos 9.1 avec la télé 4 K et netflix premium et Barre de son LG 5.1 dans la chambre Bluetooth sound system,1
Micro onde faisant four oven,1
Presonus BT 3.5 sound system with Bluetooth and aux,1
Devialet / sonos Bluetooth sound system,1
145 HDTV with standard cable,1
SANEX  body soap,1
Marshall Stanmore sound system with Bluetooth and aux,1
Wifi sound system,1
Thomson sound system with Bluetooth and aux,1
Thomson electric stove,1
Sample shampoo,1
68 HDTV,1
90 HDTV with Amazon Prime Video,1
Algotherm conditioner,1
Sharp induction stove,1
Bip body soap,1
Bip single oven,1
Bip refrigerator,1
Harmon Cardon sound system,1
ethanol,1
Rogé Cavailles body soap,1
Frank Provost shampoo,1
Sub Zero refrigerator,1
3 fours AGA Cooker dont un pour réchauffer doucement  oven,1
AGA Cooker en fonte  electric stove,1
Marsella body soap,1
20 TV with premium cable,1
TEAC sound system with Bluetooth and aux,1
Apple tv Bluetooth sound system,1
Gorenje  refrigerator,1
Pin de savon standard body soap,1
 a preciser stainless steel oven,1
Naked shop (organic) body soap,1
Tahiti + Cadum body soap,1
Boom boom Bluetooth sound system,1
145 HDTV with Apple TV,1
Paid parking garage on premises – 80 spaces,1
Teka electric stove,1
Rogé Cavaillès  body soap,1
Tinad refrigerator,1
Matälskare stainless steel oven,1
Gaggenau stainless steel oven,1
Occitaine body soap,1
No specific shampoo,1
4 HDTV with Chromecast,1
CHAINE HIFI sound system with Bluetooth and aux,1
Marshall - ACTON  Bluetooth sound system,1
Comme avant body soap,1
8 HDTV with Netflix,1
MARANTZ Bluetooth sound system,1
Ayurvedic  body soap,1
Fast wifi – 209 Mbps,1
Frigo américain  refrigerator,1
Perlier body soap,1
Biolane shampoo,1
Biolane,1
Apis Cera,1
Ikea / Whirlpool stainless steel oven,1
Avon body soap,1
SONOS  sound system,1
Dop conditioner,1
1 TV with Amazon Prime Video,1
90 TV with Disney+,1
Rosière stove,1
89 HDTV,1
L'Atelier body soap,1
L'Atelier conditioner,1
L’Atelier shampoo,1
Bluetooth speaker  Bluetooth sound system,1
Haeir refrigerator,1
Karlstein  refrigerator,1
Électrolux refrigerator,1
Eletrolux stainless steel oven,1
115 HDTV with Netflix,1
Solide  shampoo,1
Boom UE Bluetooth sound system,1
NEFF (plaques à induction idem) stainless steel double oven,1
Tivoli sound system with Bluetooth and aux,1
RITUAL body soap,1
Below the kitchen workspace refrigerator,1
Fast wifi – 950 Mbps,1
Zara Home body soap,1
Plaques à induction stove,1
Nivea shampoo,1
Mane and Tail  conditioner,1
Mane and Tail shampoo,1
La marseillaise  shampoo,1
La Marseillaise  conditioner,1
La Marseillaise  body soap,1
Mini with mini freezer on top refrigerator,1
Ninja oven,1
Fast wifi – 728 Mbps,1
L:A Bruket body soap,1
L:A Bruket conditioner,1
Apple Homepod Bluetooth sound system,1
Electrolux - Four Vapeur oven,1
La Roche-Posay shampoo,1
Rosieres stainless steel stove,1
L’Oreal  shampoo,1
27 HDTV with Apple TV,1
Miel  stainless steel oven,1
A preciser stainless steel oven,1
Savon d alep body soap,1
Smeg  induction stove,1
Eco body soap,1
Eco shampoo,1
Bio La vie Claire shampoo,1
Pyrolise oven,1
Savon végétal  body soap,1
Garnier (L'Oréal) shampoo,1
Garnier(L Oréal) conditioner,1
Natural Olive Oil Soap body soap,1
Fast wifi – 666 Mbps,1
Fast wifi – 726 Mbps,1
Insignia sound system with Bluetooth and aux,1
FRIGO refrigerator,1
Kenmore stainless steel electric stove,1
Byphasse  conditioner,1
Boulanger  refrigerator,1
Savon / gel douche / shampoing a disposition body soap,1
Denon / Marshall sound system with Bluetooth and aux,1
75 TV with standard cable,1
Biorecept body soap,1
BIORECEPT conditioner,1
BIORECEPT shampoo,1
Yamaha - Marantz - Elipson sound system with aux,1
Tout option pyrolyse  stainless steel oven,1
Réfrigérateur dans la cuisine  refrigerator,1
Genelec sound system with aux,1
Produit exclusive conditioner,1
Produit exclusive  body soap,1
Thomson avec partie congélateur. Faire attention à bien fermer la petite porte du congélateur sinon les produits sont périmés.  refrigerator,1
le plus souvent bio. conditioner,1
le plus souvent bio. shampoo,1
le plus souvent bio.  body soap,1
Triangle - LNO1A Bluetooth sound system,1
Franke stainless steel single oven,1
78 TV,1
Thomson induction stove,1
Frank provost conditioner,1
Klipsh Bluetooth sound system,1
Body wash body soap,1
Severin stainless steel oven,1
De  Dietrich  induction stove,1
NA body soap,1
Enceinte JBL - connexion bluetooth Bluetooth sound system,1
Four/Micro-onde  oven,1
52 TV with Amazon Prime Video,1
Organic vegetal soap body soap,1
Hotpoint oven,1
Inconnu stainless steel gas stove,1
Sisley conditioner,1
Sisley body soap,1
Essentiel stainless steel oven,1
49 TV,1
Bower & Wilkins sound system with Bluetooth and aux,1
Produits BIO body soap,1
Shampoing solide naturel artisanal shampoo,1
Fragonard (parfumeur à Grasse) Senteur: fleur de Figuier shampoo,1
KEF LSX sound system with Bluetooth and aux,1
Nous mettons à disposition le frigo de la réception ! refrigerator,1
Lofra stainless steel gas stove,1
Lofra stainless steel oven,1
46 TV with standard cable,1
Rosière stainless steel electric stove,1
Amica  refrigerator,1
BRANDT refrigerator,1
Vonshef  stainless steel oven,1
Elecrtrolux refrigerator,1
Enceintes Sonus Faber sound system with Bluetooth and aux,1
Tahiti shampoo,1
Yahamaha sound system with Bluetooth and aux,1
Apres Shampoing conditioner,1
Fresh  body soap,1
SVR shampoo,1
Fast wifi – 715 Mbps,1
77 TV with Disney+,1
Keiji body soap,1
A la réception refrigerator,1
Cadum-Gel corps et cheveux à l'huile d'amandes douces BIO shampoo,1
NUXE  conditioner,1
NUXE  body soap,1
Whirlpool combined microwave and oven oven,1
Petit Marseille body soap,1
Petit Marseille conditioner,1
Petit Marseille shampoo,1
Savon de Marseille pour les mains / hand soap body soap,1
Zéro déchet  body soap,1
50 TV with DVD player,1
Sens body soap,1
90 HDTV with Apple TV,1
Chaîne HiFi sound system,1
ILVE oven,1
JBL Extreme  Bluetooth sound system,1
Deville gas stove,1
Aew refrigerator,1
Baylist & Harding body soap,1
Sonoro sound system with aux,1
Savon Bio body soap,1
Produit Bio shampoo,1
46 HDTV with Apple TV,1
Airplay Bluetooth sound system,1
Organic homemade bar shampoo,1
Americain  refrigerator,1
LACANCHE stainless steel single oven,1
Diverses marques  body soap,1
Grill seulement oven,1
Insedit refrigerator,1
Various (bio products) shampoo,1
Various (bio products) conditioner,1
Various (bio products) body soap,1
Phlips  sound system,1
7 Plantes Cien shampoo,1
Thorens  sound system with aux,1
Sanex ou le petit marseillais body soap,1
Petrol hahn ou head & shoulder shampoo,1
Nuxe  conditioner,1
Margiela  body soap,1
Ines de la Fressange conditioner,1
Ines de La Fressange  body soap,1
Liebberh refrigerator,1
Bosch stainless steel stove,1
Marshall Stockwell 2 sound system with Bluetooth and aux,1
D oven,1
Timotee shampoo,1
YAMAHA sound system,1
Miele. 1 shelf  available for you.  refrigerator,1
Le Petit Marsellais body soap,1
Plaques induction SAUTER induction stove,1
John frieda conditioner,1
57 HDTV with Netflix,1
Indéfini  body soap,1
Gel douche / champooing shampoo,1
Savon / gel douche body soap,1
ROSIERE electric stove,1
ROSIERE oven,1
Organic Brand Biocoop shampoo,1
nous vous fournissons. shampoo,1
nous vous fournissons. conditioner,1
Fast wifi – 700 Mbps,1
SAUTER induction stove,1
MARANTZ sound system with aux,1
SCHOLTES refrigerator,1
Harman sound system with aux,1
L’OREAL  body soap,1
Cadillac stainless steel oven,1
Lagan  refrigerator,1
TV Bluetooth sound system,1
Nelf oven,1
Nelf induction stove,1
180 HDTV with Amazon Prime Video,1
Muse sound system with Bluetooth and aux,1
DAEWOO stainless steel oven,1
Sogelux refrigerator,1
LG stainless steel induction stove,1
Severin oven,1
Monoprix bio  body soap,1
Fast wifi – 513 Mbps,1
Algor refrigerator,1
L'Occitane en Provence shampoo,1
Fast wifi – 771 Mbps,1
Siemen electric stove,1
KitchenAid stainless steel oven,1
KitchenAid  refrigerator,1
2 Plaques électriques electric stove,1
ZEROWATT stainless steel gas stove,1
Marschall sound system,1
Micro onde  oven,1
Amazon Bluetooth sound system,1
Klipsch The Five + Vinyl player Bluetooth sound system,1
Marantz and Marshall  sound system with Bluetooth and aux,1
B Bluetooth sound system,1
Omnisens Paris conditioner,1
Marrantz Bluetooth sound system,1
81 HDTV with standard cable,1
Toutes marques plusieurs gels douche body soap,1
Hifi très grande qualité -  AirPlay  sound system with Bluetooth and aux,1
FreeBox Delta (TV box with Devialet Sound) Bluetooth sound system,1
36 HDTV with Amazon Prime Video,1
Triangle AIO 3 Gris sound system with Bluetooth and aux,1
Enceintes Logitec avec caisson de basses sound system with Bluetooth and aux,1
Essentiel induction stove,1
Plaque de cuisson oven,1
Charlestine Bluetooth sound system,1
300 HDTV with Fire TV,1
Natural,1
not tested on animals shampoo,1
Natural ,1
not tested on animals  body soap,1
86 HDTV with Netflix,1
Nous préférons que vous l'apportiez! shampoo,1
Bluesky stainless steel oven,1
Roziere  induction stove,1
Faur oven,1
Echantillons hotel shampoo,1
HomePod Mini Apple Bluetooth sound system,1
Zanussi refrigerator,1
Cualquier marca conditioner,1
Maison Fabre body soap,1
Inconnu  body soap,1
Inconnu  shampoo,1
Focal Evo / JBL sound system with Bluetooth and aux,1
Cien conditioner,1
WHIRLPOOL oven,1
17 HDTV with Chromecast,1
Garnier ultra-doux conditioner,1
Grundig sound system with aux,1
Philipps stainless steel oven,1
Altec sound system with aux,1
BOSH stainless steel oven,1
Organic / Bio shampoo,1
Rosteres stainless steel oven,1
Apple homepods sound system,1
75 HDTV with Disney+,1
Plaque de cuisson à induction electric stove,1
107 HDTV with Netflix,1
Sauter stove,1
Bosh  oven,1
Bosh  refrigerator,1
Pandoretta Bluetooth sound system,1
Bose wireless sound system Bluetooth sound system,1
300 HDTV,1
LE PETIT MARSEILLAIS conditioner,1
LE PETIT MARSEILLAIS shampoo,1
Harman Kardon Studio Onyx 4 Bluetooth sound system,1
Savonnier pâtissier body soap,1
Savonnier pâtissier / Faith In Nature shampoo,1
Numan Bluetooth sound system,1
Le petit Marseillais,1
Timotei  conditioner,1
BLUOS Bluetooth sound system,1
DeLonghi stainless steel oven,1
Fast wifi – 574 Mbps,1
MIXA Bébé pour Adulte shampoo,1
Fast wifi – 169 Mbps,1
Harmann Kardon Bluetooth sound system,1
Sharp sound system with Bluetooth and aux,1
Savon sec body soap,1
Arganicare shampoo,1
Arganicare conditioner,1
Dietrich  oven,1
Creative  Bluetooth sound system,1
Fast wifi – 772 Mbps,1
FAR stainless steel oven,1
FAR stainless steel gas stove,1
Furterer extra doux Naturia shampoo,1
Klorane extra doux avoine conditioner,1
Zara home  body soap,1
Elextrolux  refrigerator,1
Elextrolux electric stove,1
Elseve loreal shampoo,1
Elseve loreal  conditioner,1
Cattier conditioner,1
52 HDTV with Apple TV,1
155 HDTV with standard cable,1
All organic products shampoo,1
All organic products body soap,1
White and brown oven,1
Radio CD USB sound system,1
Sano sound system with aux,1
Savon de Marseille liquid soap.  body soap,1
Sonny sound system,1
Desconocida body soap,1
Thomson  induction stove,1
Frostig refrigerator,1
Soundcore Bluetooth sound system,1
Enceintes bluetooth Bluetooth sound system,1
Molunix stove,1
Eletrolrx refrigerator,1
ENCEINTE BOSE sound system with Bluetooth and aux,1
Cottage  body soap,1
Harman Kardon  Bluetooth sound system,1
Yes body soap,1
Yes shampoo,1
Top shampoo,1
Top  body soap,1
Top  conditioner,1
Smef refrigerator,1
Novidum refrigerator,1
JBL Bluetooth speaker sound system,1
Ikea  induction stove,1
 Enceinte Bluetooth Marshall Kilburn sound system with Bluetooth and aux,1
Le Petit Marseillais  shampoo,1
Le Petit Marseillais  conditioner,1
Algotherme body soap,1
Algotherme shampoo,1
Eneby 20 Bluetooth sound system,1
Shiseido conditioner,1
Shiseido shampoo,1
UEboom sound system with Bluetooth and aux,1
35 HDTV with DVD player,1
Mi Soundbar  sound system with Bluetooth and aux,1
Delonghi oven,1
Lamona stove,1
Fast wifi – 899 Mbps,1
CHIQ refrigerator,1
Phillips BT4000 sound system with Bluetooth and aux,1
Apple home pod + Apple home pod mini + beats Bluetooth sound system,1
Pool - heated,1
Game room,1
115 TV with premium cable,1
Taaj body soap,1
Jvc sound system with aux,1
Mademoiselle bio shampoo,1
Organic body soap body soap,1
L'oral shampoo,1
L'oreal  conditioner,1
Vichy conditioner,1
SAVON DE Marseille body soap,1
